Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Total Fires
2013,222178,Abilene Christian University,1,ACU-Abilene,4461,Gardner Hall,930 EN 16th,0
2013,222178,Abilene Christian University,1,ACU-Abilene,4461,Mabee Hall,1885 Campus Court,0
2013,222178,Abilene Christian University,1,ACU-Abilene,4461,McDonald Hall,790 EN 16th,0
2013,222178,Abilene Christian University,1,ACU-Abilene,4461,McKinzie Hall,1750 Campus Center Rd.,0
2013,222178,Abilene Christian University,1,ACU-Abilene,4461,Morris Hall,2070 ACU Drive-North,0
2013,222178,Abilene Christian University,1,ACU-Abilene,4461,Nelson Hall,860 EN 16th,0
2013,222178,Abilene Christian University,1,ACU-Abilene,4461,Sikes Hall,990 EN 16th,0
2013,222178,Abilene Christian University,1,ACU-Abilene,4461,Smith-Adams Hall,1402 Cedar Crest Dr.,1
2013,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3394,ABAC Place,100Faculty Dr,0
2013,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3394,ABAC Lakeside,180 Farm Lane,0
2014,177834,A T Still University of Health Sciences,1,Missouri Campus,3226,Student Housing A,200 S. Osteopathy,0
2014,177834,A T Still University of Health Sciences,1,Missouri Campus,3226,Student Housing B,200 S. Osteopathy,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,Barret Hall,1818 Campus Court,1
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,Dillard Hall,633 EN 19th,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,Edwards Hall,1995 Campus Court,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,Gardner Hall,930 EN 16th,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,Mabee Hall,1885 Campus Court,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,McDonald Hall,790 EN 16th,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,McKinzie Hall,1750 Campus Center Rd.,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,Morris Hall,2070 ACU Drive-North,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,Nelson Hall,860 EN 16th,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,Sikes Hall,990 EN 16th,0
2014,222178,Abilene Christian University,1,ACU-Abilene,4427,Smith-Adams Hall,1402 Cedar Crest Dr.,0
2014,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3458,ABAC Place,100Faculty Dr,0
2014,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3458,ABAC Lakeside,180 Farm Lane,0
2015,177834,A T Still University of Health Sciences,1,Missouri Campus,3357,Student Housing A,200 S. Osteopathy,0
2015,177834,A T Still University of Health Sciences,1,Missouri Campus,3357,Student Housing B,200 S. Osteopathy,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,Barret Hall,1818 Campus Court,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,Dillard Hall,633 EN 19th,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,Edwards Hall,1995 Campus Court,1
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,Gardner Hall,930 EN 16th,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,Mabee Hall,1885 Campus Court,1
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,McDonald Hall,790 EN 16th,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,McKinzie Hall,1750 Campus Center Rd.,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,Morris Hall,2070 ACU Drive-North,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,Nelson Hall,860 EN 16th,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,Sikes Hall,990 EN 16th,0
2015,222178,Abilene Christian University,1,ACU-Abilene,4544,Smith-Adams Hall,1402 Cedar Crest Dr.,0
2015,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3393,ABAC Place,100Faculty Dr,0
2015,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3393,ABAC Lakeside,180 Farm Lane,0
2016,177834,A T Still University of Health Sciences,1,Missouri Campus,3569,Student Housing A,200 S. Osteopathy,0
2016,177834,A T Still University of Health Sciences,1,Missouri Campus,3569,Student Housing B,200 S. Osteopathy,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,Barret Hall,1818 Campus Court,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,Dillard Hall,633 EN 19th,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,Edwards Hall,1995 Campus Court,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,Gardner Hall,930 EN 16th,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,Mabee Hall,1885 Campus Court,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,McDonald Hall,790 EN 16th,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,McKinzie Hall,1750 Campus Center Rd.,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,Morris Hall,2070 ACU Drive-North,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,Nelson Hall,860 EN 16th,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,Sikes Hall,990 EN 16th,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,Smith-Adams Hall,1402 Cedar Crest Dr.,0
2016,222178,Abilene Christian University,1,ACU-Abilene,4910,University Park Bldg 2,2150 N. Judge Ely Blvd.,0
2016,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3475,ABAC Place,100Faculty Dr,0
2016,138558,Abraham Baldwin Agricultural College,1,ABAC main campus,3475,ABAC Lakeside,180 Farm Lane,0
2017,177834,A T Still University of Health Sciences,1,Missouri Campus,3723,Student Housing A,200 S. Osteopathy,0
2017,177834,A T Still University of Health Sciences,1,Missouri Campus,3723,Student Housing B,200 S. Osteopathy,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,Barret Hall,1818 Campus Court,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,Dillard Hall,633 EN 19th,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,Edwards Hall,1995 Campus Court,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,Gardner Hall,930 EN 16th,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,Mabee Hall,1885 Campus Court,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,McDonald Hall,790 EN 16th,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,McKinzie Hall,1750 Campus Center Rd.,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,Morris Hall,2070 ACU Drive-North,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,Nelson Hall,860 EN 16th,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,Sikes Hall,990 EN 16th,0
2017,222178,Abilene Christian University,1,ACU-Abilene,5145,Smith-Adams Hall,1402 Cedar Crest Dr.,0
